WKT,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,TIPO_ACIDE
"POINT (-46.6363391417156 -23.5474904536924)",D121400029,15603,,01,,2014/12/19,1300,4,,,00000000000100000,0100,CN3,80,0104,15603,,AT
"POINT (-46.6353529829822 -23.5390580297509)",D121400030,16725,,631,,2014/12/13,1300,4,,,00000000000100000,0100,CN3,67,0104,16725,,AT
"POINT (-46.6309875799435 -23.5442028319126)",D121400031,04146,02950,,,2014/12/19,1539,4,,,10000000000000000,0100,CN3,80,0104,02950,04146,AT
"POINT (-46.6340526471328 -23.5562502296255)",D121400032,13880,,1,,2014/12/14,2220,4,,,20000000000000000,0200,CN3,80,0104,08029,,AT
"POINT (-46.409544783113 -23.533704055683)",D121400033,13317,01521,,,2014/12/16,0000,4,,,10000000000000000,0100,LE3,47,0104,01521,13317,AT
"POINT (-46.63049646443 -23.558065451348)",D121400034,09032,,657,,2014/12/16,1845,4,,,00000001000000000,0100,SU1,49,0104,09032,,AT
"POINT (-46.6288084145448 -23.5391934256095)",D121400035,04146,,536,,2014/12/24,0539,2,,,00010001000000000,0100,CN3,80,0105,04146,,CH
"POINT (-46.6364150872075 -23.5535056389563)",D121400036,19764,,465,,2014/12/22,2020,2,,,01000000100000000,0100,SU2,80,0105,19764,,CO
"POINT (-46.6280897147417 -23.5486441461039)",D121400037,06642,,3800,,2014/12/23,1900,2,,,01000000000000000,0100,CN3,80,0105,06642,,QM
"POINT (-46.6329837817157 -23.5527108343865)",D121400038,10376,,25,,2014/12/24,2100,2,,,11000000000000000,0100,CN3,80,0105,10376,,CF
"POINT (-46.6309690852348 -23.5421478147895)",D121400039,06136,,181,,2014/12/26,1815,4,,,10000000000000000,0100,CN3,80,0105,06136,,AT
"POINT (-46.6239521494412 -23.5619649735175)",D121400040,11649,06782,,,2014/12/28,2100,2,,,02000000000000000,0200,SU1,49,0105,11454,11649,CO
"POINT (-46.6287473613828 -23.5446611172317)",D121400041,06642,,3381,,2014/12/30,1950,4,,,10000000000000000,0100,CN3,80,0105,06642,,AT
"POINT (-46.6387595639946 -23.5494148791221)",D121400042,01003,02795,,,2014/12/10,1645,2,,,11000000000000000,0100,CN3,67,0105,02795,14804,SI
"POINT (-46.6334332466169 -23.534028713965)",D121400044,18993,,156,,2014/12/04,1459,2,B,,11000000000000000,0100,CN3,09,0107,18993,,CL
"POINT (-46.7476785595604 -23.5206702465818)",D121400045,29772,,01,,2014/12/05,2015,2,,,11000000000000000,0100,TT,39,0107,29772,,CT
"POINT (-46.6304184041071 -23.5212631691693)",D121400046,17799,,777,,2014/12/10,0905,2,,,01000000000000000,0100,CN1,09,0107,17799,,QM
"POINT (-46.631859827299 -23.528526968914)",D121400048,17799,,01,,2014/12/11,0930,4,,,00000001000000000,0100,CN1,09,0107,17799,,AT
"POINT (-46.631859827299 -23.528526968914)",D121400049,17799,,01,,2014/12/09,0830,2,C,,11000000000000000,0100,CN1,09,0107,17799,,CT
"POINT (-46.64230722389 -23.5234367588192)",D121400050,02864,,333,,2014/12/15,1850,4,,,00000000000100000,0100,CN1,09,0107,02864,,AT
"POINT (-46.6324049093212 -23.532357698051)",D121400051,17060,18993,,,2014/12/16,0820,2,,,01000000100000000,0200,CN3,09,0107,10485,18993,CO
"POINT (-46.630484922928 -23.5240868936166)",D121400052,17799,,520,,2014/12/22,0845,2,,,11000000000000000,0100,CN2,09,0107,17799,,CO
"POINT (-46.649532213592 -23.5181174589344)",D121400053,04561,,5800,,2014/12/23,1330,2,,,11000000000000000,0100,TT,09,0107,29772,,CT
"POINT (-46.6400925098454 -23.5290179986114)",D121400054,11137,18193,,,2014/12/27,0920,2,,,01000000000100000,0100,CN1,09,0108,11137,18193,CO
"POINT (-46.409544783113 -23.533704055683)",D121400055,04561,,11000,,2014/12/29,0545,4,,,10000000000000000,0100,TT,47,0108,29772,,AT
"POINT (-46.597749121088 -23.5284341025719)",D121400056,04561,,01,,2014/12/09,1700,2,B,,01000000000100000,0100,TT,08,0108,29772,,CT
"POINT (-46.631859827299 -23.528526968914)",D121400057,17799,,01,,2014/12/15,1745,4,,,01000000000000000,0100,CN1,09,0108,17799,,AT
