WKT,Cadlog,Id_acident,Cadloga,Cadlogb,Alt_num,Referencia,Data,Hora,Cod_acid,Fonte,Viatura,Dp,Talao,Sentido,Pista,Veiculos,Vitimas,Dec,Distrito,Folha,Princ_a,Princ_b,Placa1,Tipo_plac1,Placa2,Tipo_plac2,Placa3,Tipo_plac3,Tipo_acide,Flag_dupl,Nv_dupl,Duplacas,Dia
"POINT (-46.69762 -23.640983)",,D011101228,10918,,100,,2011/01/19,1029,4,D,,11,565,,,00000001000000000,0100,SA,15,0601,08944,,CZZ9101,OU,,,,,AT,,,,
"POINT (-46.711975 -23.633989)",,D011101229,09573,,01,,2011/01/19,1730,2,D,,11,591,,,00000001000100000,0200,CL,72,0601,09573,,CZZ9574,OU,EFQ2891,CM,,,CT,,,,
"POINT (-46.703107 -23.628774)",,D011101230,15806,,1596,,2011/01/19,2108,2,D,,11,595,,,11000000000000000,0100,SA,29,0601,15806,,EQH5354,AU,DZS7626,MO,,,CL,,,,
"POINT (-46.708318 -23.663876)",,D011101231,19844,,287,,2011/01/20,0140,4,D,,11,597,,,00000000000100000,0100,CS,29,0602,19844,,DDG1096,CM,,,,,AT,,,,
"POINT (-46.702014 -23.643952)",,D011101232,10270,,76,,2011/01/22,0822,2,D,,11,666,,,11000000000000000,0200,CL,72,0602,10270,,AMQ8296,AU,EQS5856,MO,,,CO,,,,
"POINT (-46.710088 -23.648429)",,D011101234,17122,,288,,2011/01/22,1510,4,D,,11,678,,,01000000000000000,0100,CL,29,0602,17122,,DGS5019,MO,,,,,AT,,,,
"POINT (-46.721893 -23.649114)",,D011101235,03216,,477,,2011/01/26,1830,2,D,,11,773,,,11000000000000000,0100,CL,72,0602,03216,,EMR3253,AU,EQR4333,MO,,,CO,,,,
"POINT (-46.706593 -23.662673)",,D011101237,19844,07717,,,2011/01/27,2332,4,D,,11,809,C,,00000001000000000,0100,CS,72,0602,07717,19844,EFW7574,OU,,,,,AT,,,,
"POINT (-46.700636 -23.632265)",,D011101238,01085,03214,,,2011/01/28,1850,2,D,,11,850,,,11000000000000000,0100,SA,72,0602,01085,03214,EJR2977,MO,CTA1645,AU,,,CO,,,,
"POINT (-46.677496 -23.650174)",,D011101239,19931,,3341,,2011/01/28,1848,2,D,,11,852,,,11000000000000000,0100,SA,30,0602,19764,,DZT6014,MO,CJS3176,AU,,,CO,,,,
"POINT (-46.710104 -23.647653)",,D011101240,17122,,205,,2011/01/29,1400,4,D,,11,873,,,01000000000000000,0100,CL,29,0602,17122,,DOE2648,MO,,,,,AT,,,,
"POINT (-46.696803 -23.640547)",,D011101241,10918,,,PXBANESPA,2011/01/30,0101,2,D,,11,880,B,,10000000000100000,0200,SA,15,0603,08944,,GIS7878,CM,ANX0593,AU,,,CO,,,,
"POINT (-46.702883 -23.658401)",,D011101244,10121,,356,,2011/01/31,1932,2,D,,11,930,,,11000000000000000,0100,CS,72,0603,10121,,DVL7504,AU,EQP4783,MO,,,CO,,,,
"POINT (-46.690968 -23.654527)",,D011101245,19931,,1576,,2011/01/31,2020,4,D,,11,933,,,10000000000000000,0100,SA,30,0603,19764,,DOO0736,AU,,,,,AT,,,,
"POINT (-46.706427 -23.656291)",,D011101246,00998,,213,,2011/01/14,1400,4,D,,11,940,,,10000000000000000,0100,CS,72,0603,00998,,DJE5089,AU,,,,,AT,,,,
"POINT (-46.713753 -23.654432)",,D011101247,11063,,400,,2011/01/19,2230,4,D,,11,977,,,00000001000000000,0100,CS,72,0603,11063,,,OU,,,,,AT,,,,
"POINT (-46.694512 -23.855313)",,D011101249,37964,,935,,2011/01/16,2309,2,D,,25,142,,,02000000000000000,0300,CS,76,0604,37964,,DRW3068,MO,DUV3648,MO,,,SI,,,,
"POINT (-46.735025 -23.839123)",,D011101250,36045,,,NC,2011/01/01,2240,2,D,,25,191,,,01000000000000000,0100,CS,76,0604,36062,,DZU3617,MO,,,,,CH,,,,
